id,earnings,tournament,date
6196,  39100,The American Express,2026-01-25
4410932,  39100,The American Express,2026-01-25
10505,  39100,The American Express,2026-01-25
4691931,  25377,The American Express,2026-01-25
11143,  25377,The American Express,2026-01-25
6825,  25377,The American Express,2026-01-25
3683,  25377,The American Express,2026-01-25
257,  25377,The American Express,2026-01-25
9484,  25377,The American Express,2026-01-25
8906,  25377,The American Express,2026-01-25
4423323,  25377,The American Express,2026-01-25
5075652,  25377,The American Express,2026-01-25
11253,  25377,The American Express,2026-01-25
6701,  25377,The American Express,2026-01-25
4858572,  25377,The American Express,2026-01-25
10054,  20884,The American Express,2026-01-25
4921329,  20884,The American Express,2026-01-25
10664,  20884,The American Express,2026-01-25
4671,  20884,The American Express,2026-01-25
9025,  20884,The American Express,2026-01-25
10058,  20884,The American Express,2026-01-25
11101,  20884,The American Express,2026-01-25
4791222,  19688,The American Express,2026-01-25
5113338,  19688,The American Express,2026-01-25
4587989,  19688,The American Express,2026-01-25
10057,  19688,The American Express,2026-01-25
6001,  19688,The American Express,2026-01-25
9037,  19688,The American Express,2026-01-25
5076011,  19044,The American Express,2026-01-25
686,  18768,The American Express,2026-01-25
6962,  18768,The American Express,2026-01-25
3550,  18492,The American Express,2026-01-25
8889,  18308,The American Express,2026-01-25
10364,      0,The American Express,2026-01-25
4425898,      0,The American Express,2026-01-25
1222,      0,The American Express,2026-01-25
5143175,      0,The American Express,2026-01-25
2283,      0,The American Express,2026-01-25
4351896,      0,The American Express,2026-01-25
1264,      0,The American Express,2026-01-25
4602218,      0,The American Express,2026-01-25
4410612,      0,The American Express,2026-01-25
11456,      0,The American Express,2026-01-25
4699418,      0,The American Express,2026-01-25
9658,      0,The American Express,2026-01-25
5338,      0,The American Express,2026-01-25
11332,      0,The American Express,2026-01-25
9127,      0,The American Express,2026-01-25
4408320,      0,The American Express,2026-01-25
8974,      0,The American Express,2026-01-25
4844,      0,The American Express,2026-01-25
3449,      0,The American Express,2026-01-25
11387,      0,The American Express,2026-01-25
1077,      0,The American Express,2026-01-25
6937,      0,The American Express,2026-01-25
2230,      0,The American Express,2026-01-25
110,      0,The American Express,2026-01-25
4699329,      0,The American Express,2026-01-25
4404991,      0,The American Express,2026-01-25
4426182,      0,The American Express,2026-01-25
5113335,      0,The American Express,2026-01-25
5962,      0,The American Express,2026-01-25
5692,      0,The American Express,2026-01-25
10548,      0,The American Express,2026-01-25
6011,      0,The American Express,2026-01-25
569,      0,The American Express,2026-01-25
9364,      0,The American Express,2026-01-25
5882,      0,The American Express,2026-01-25
4408319,      0,The American Express,2026-01-25
1225,      0,The American Express,2026-01-25
4408318,      0,The American Express,2026-01-25
4408315,      0,The American Express,2026-01-25
4585548,      0,The American Express,2026-01-25
1407,      0,The American Express,2026-01-25
10469,      0,The American Express,2026-01-25
3832,      0,The American Express,2026-01-25
4349547,      0,The American Express,2026-01-25
3980,      0,The American Express,2026-01-25
4425904,      0,The American Express,2026-01-25
4361934,      0,The American Express,2026-01-25
5080439,      0,The American Express,2026-01-25
7120,      0,The American Express,2026-01-25
5075548,      0,The American Express,2026-01-25
5724,      0,The American Express,2026-01-25
4877953,      0,The American Express,2026-01-25
5076025,      0,The American Express,2026-01-25
6931,      0,The American Express,2026-01-25
1030,      0,The American Express,2026-01-25
5209442,      0,The American Express,2026-01-25
5139663,      0,The American Express,2026-01-25
4408316,      0,The American Express,2026-01-25
4868733,      0,The American Express,2026-01-25
4618114,      0,The American Express,2026-01-25
4589406,      0,The American Express,2026-01-25
9143,      0,The American Express,2026-01-25
4358083,      0,The American Express,2026-01-25
4566443,      0,The American Express,2026-01-25
8961,      0,The American Express,2026-01-25
3312,      0,The American Express,2026-01-25
4982182,      0,The American Express,2026-01-25
9525,      0,The American Express,2026-01-25
4419142,      0,The American Express,2026-01-25
205,      0,The American Express,2026-01-25
9144,      0,The American Express,2026-01-25
6015,      0,The American Express,2026-01-25
10372,      0,The American Express,2026-01-25
10990,      0,The American Express,2026-01-25
10863,      0,The American Express,2026-01-25
11395,      0,The American Express,2026-01-25
4358081,      0,The American Express,2026-01-25
4682,      0,The American Express,2026-01-25
4375977,      0,The American Express,2026-01-25
4375972,      0,The American Express,2026-01-25
5215039,      0,The American Express,2026-01-25
11385,      0,The American Express,2026-01-25
4832046,      0,The American Express,2026-01-25
569,1728000,Farmers Insurance Open,2026-02-01
4837368, 726400,Farmers Insurance Open,2026-02-01
4858572, 726400,Farmers Insurance Open,2026-02-01
7081, 726400,Farmers Insurance Open,2026-02-01
9843, 370800,Farmers Insurance Open,2026-02-01
6937, 370800,Farmers Insurance Open,2026-02-01
11332, 301600,Farmers Insurance Open,2026-02-01
10980, 301600,Farmers Insurance Open,2026-02-01
6196, 301600,Farmers Insurance Open,2026-02-01
9530, 261600,Farmers Insurance Open,2026-02-01
2230, 193029,Farmers Insurance Open,2026-02-01
5076021, 193029,Farmers Insurance Open,2026-02-01
10372, 193029,Farmers Insurance Open,2026-02-01
8906, 193029,Farmers Insurance Open,2026-02-01
5860, 193029,Farmers Insurance Open,2026-02-01
9221, 193029,Farmers Insurance Open,2026-02-01
6001, 193029,Farmers Insurance Open,2026-02-01
4690755, 132000,Farmers Insurance Open,2026-02-01
4901368, 132000,Farmers Insurance Open,2026-02-01
4425904, 132000,Farmers Insurance Open,2026-02-01
6701, 132000,Farmers Insurance Open,2026-02-01
10057,  92640,Farmers Insurance Open,2026-02-01
4425906,  92640,Farmers Insurance Open,2026-02-01
11250,  92640,Farmers Insurance Open,2026-02-01
5408,  92640,Farmers Insurance Open,2026-02-01
4351896,  92640,Farmers Insurance Open,2026-02-01
6825,  71520,Farmers Insurance Open,2026-02-01
9243,  71520,Farmers Insurance Open,2026-02-01
10522,  71520,Farmers Insurance Open,2026-02-01
4348470,  56280,Farmers Insurance Open,2026-02-01
388,  56280,Farmers Insurance Open,2026-02-01
4589406,  56280,Farmers Insurance Open,2026-02-01
11253,  56280,Farmers Insurance Open,2026-02-01
4426181,  56280,Farmers Insurance Open,2026-02-01
1407,  56280,Farmers Insurance Open,2026-02-01
9144,  56280,Farmers Insurance Open,2026-02-01
11383,  56280,Farmers Insurance Open,2026-02-01
5882,  41760,Farmers Insurance Open,2026-02-01
4408319,  41760,Farmers Insurance Open,2026-02-01
10596,  41760,Farmers Insurance Open,2026-02-01
5147097,  41760,Farmers Insurance Open,2026-02-01
1680,  41760,Farmers Insurance Open,2026-02-01
4691931,  31264,Farmers Insurance Open,2026-02-01
4602218,  31264,Farmers Insurance Open,2026-02-01
5217048,  31264,Farmers Insurance Open,2026-02-01
4513,  31264,Farmers Insurance Open,2026-02-01
4361934,  31264,Farmers Insurance Open,2026-02-01
4671,  31264,Farmers Insurance Open,2026-02-01
5075652,  23739,Farmers Insurance Open,2026-02-01
4858859,  23739,Farmers Insurance Open,2026-02-01
8889,  23739,Farmers Insurance Open,2026-02-01
10664,  23739,Farmers Insurance Open,2026-02-01
4425898,  23739,Farmers Insurance Open,2026-02-01
10054,  23739,Farmers Insurance Open,2026-02-01
4791222,  23739,Farmers Insurance Open,2026-02-01
6798,  22176,Farmers Insurance Open,2026-02-01
5143175,  22176,Farmers Insurance Open,2026-02-01
4566443,  22176,Farmers Insurance Open,2026-02-01
10030,  21504,Farmers Insurance Open,2026-02-01
11456,  21504,Farmers Insurance Open,2026-02-01
7001,  21504,Farmers Insurance Open,2026-02-01
6931,  21504,Farmers Insurance Open,2026-02-01
4698579,  21024,Farmers Insurance Open,2026-02-01
4699418,  20832,Farmers Insurance Open,2026-02-01
4602673,  20352,Farmers Insurance Open,2026-02-01
7120,  20352,Farmers Insurance Open,2026-02-01
5113335,  20352,Farmers Insurance Open,2026-02-01
11119,  20352,Farmers Insurance Open,2026-02-01
9143,  19872,Farmers Insurance Open,2026-02-01
4982182,  19392,Farmers Insurance Open,2026-02-01
6086,  19392,Farmers Insurance Open,2026-02-01
11385,  19392,Farmers Insurance Open,2026-02-01
10863,  19392,Farmers Insurance Open,2026-02-01
5075548,  18912,Farmers Insurance Open,2026-02-01
4426182,      0,Farmers Insurance Open,2026-02-01
4349547,      0,Farmers Insurance Open,2026-02-01
5076025,      0,Farmers Insurance Open,2026-02-01
10140,      0,Farmers Insurance Open,2026-02-01
4618114,      0,Farmers Insurance Open,2026-02-01
6007,      0,Farmers Insurance Open,2026-02-01
4699329,      0,Farmers Insurance Open,2026-02-01
9658,      0,Farmers Insurance Open,2026-02-01
11395,      0,Farmers Insurance Open,2026-02-01
4423323,      0,Farmers Insurance Open,2026-02-01
4585548,      0,Farmers Insurance Open,2026-02-01
11101,      0,Farmers Insurance Open,2026-02-01
4587989,      0,Farmers Insurance Open,2026-02-01
5203536,      0,Farmers Insurance Open,2026-02-01
5140,      0,Farmers Insurance Open,2026-02-01
4997636,      0,Farmers Insurance Open,2026-02-01
3550,      0,Farmers Insurance Open,2026-02-01
11056,      0,Farmers Insurance Open,2026-02-01
6011,      0,Farmers Insurance Open,2026-02-01
5139663,      0,Farmers Insurance Open,2026-02-01
9877,      0,Farmers Insurance Open,2026-02-01
10058,      0,Farmers Insurance Open,2026-02-01
3832,      0,Farmers Insurance Open,2026-02-01
10166,      0,Farmers Insurance Open,2026-02-01
5962,      0,Farmers Insurance Open,2026-02-01
5692,      0,Farmers Insurance Open,2026-02-01
5239148,      0,Farmers Insurance Open,2026-02-01
10588,      0,Farmers Insurance Open,2026-02-01
257,      0,Farmers Insurance Open,2026-02-01
6962,      0,Farmers Insurance Open,2026-02-01
4419142,      0,Farmers Insurance Open,2026-02-01
4375977,      0,Farmers Insurance Open,2026-02-01
10577,      0,Farmers Insurance Open,2026-02-01
8973,      0,Farmers Insurance Open,2026-02-01
4408315,      0,Farmers Insurance Open,2026-02-01
9506,      0,Farmers Insurance Open,2026-02-01
5150294,      0,Farmers Insurance Open,2026-02-01
5573,      0,Farmers Insurance Open,2026-02-01
4408320,      0,Farmers Insurance Open,2026-02-01
1222,      0,Farmers Insurance Open,2026-02-01
4410612,      0,Farmers Insurance Open,2026-02-01
5215039,      0,Farmers Insurance Open,2026-02-01
1059,      0,Farmers Insurance Open,2026-02-01
205,      0,Farmers Insurance Open,2026-02-01
9127,      0,Farmers Insurance Open,2026-02-01
5080439,      0,Farmers Insurance Open,2026-02-01
9484,      0,Farmers Insurance Open,2026-02-01
3683,      0,Farmers Insurance Open,2026-02-01
5209442,      0,Farmers Insurance Open,2026-02-01
9364,      0,Farmers Insurance Open,2026-02-01
5502,      0,Farmers Insurance Open,2026-02-01
4408318,      0,Farmers Insurance Open,2026-02-01
5076011,      0,Farmers Insurance Open,2026-02-01
4358081,      0,Farmers Insurance Open,2026-02-01
4358083,      0,Farmers Insurance Open,2026-02-01
10793,      0,Farmers Insurance Open,2026-02-01
4404991,      0,Farmers Insurance Open,2026-02-01
11393,      0,Farmers Insurance Open,2026-02-01
10548,      0,Farmers Insurance Open,2026-02-01
11387,      0,Farmers Insurance Open,2026-02-01
5113338,      0,Farmers Insurance Open,2026-02-01
4585549,      0,Farmers Insurance Open,2026-02-01
4868733,      0,Farmers Insurance Open,2026-02-01
1077,      0,Farmers Insurance Open,2026-02-01
1651,      0,Farmers Insurance Open,2026-02-01
2283,      0,Farmers Insurance Open,2026-02-01
1264,      0,Farmers Insurance Open,2026-02-01
4375972,      0,Farmers Insurance Open,2026-02-01
4845304,      0,Farmers Insurance Open,2026-02-01
10469,      0,Farmers Insurance Open,2026-02-01
1030,      0,Farmers Insurance Open,2026-02-01
4877953,      0,Farmers Insurance Open,2026-02-01
4921329,      0,Farmers Insurance Open,2026-02-01
4690755,1728000,WM Phoenix Open,2026-02-08
5860,1046400,WM Phoenix Open,2026-02-08
9478, 439680,WM Phoenix Open,2026-02-08
4425904, 439680,WM Phoenix Open,2026-02-08
4419142, 439680,WM Phoenix Open,2026-02-08
11250, 439680,WM Phoenix Open,2026-02-08
7081, 439680,WM Phoenix Open,2026-02-08
9843, 300000,WM Phoenix Open,2026-02-08
9037, 280800,WM Phoenix Open,2026-02-08
4364873, 242400,WM Phoenix Open,2026-02-08
4837368, 242400,WM Phoenix Open,2026-02-08
4858572, 242400,WM Phoenix Open,2026-02-08
8889, 188000,WM Phoenix Open,2026-02-08
4408320, 188000,WM Phoenix Open,2026-02-08
9530, 188000,WM Phoenix Open,2026-02-08
9025, 160800,WM Phoenix Open,2026-02-08
9506, 160800,WM Phoenix Open,2026-02-08
5054388, 122720,WM Phoenix Open,2026-02-08
