team,short,abbreviation,nickname,school,z
Texas A&M Aggies,Texas A&M,TA&M,Aggies,Texas A&M,Texas A&M
Texas Longhorns,Texas,TEX,Longhorns,Texas,Texas
Texas Southern Tigers,Texas Southern,TXSO,Tigers,Texas Southern,TX Southern
Texas State Bobcats,Texas St,TXST,Bobcats,Texas State,Texas St
Texas Tech Red Raiders,Texas Tech,TTU,Red Raiders,Texas Tech,Texas Tech
The Citadel Bulldogs,The Citadel,CIT,Bulldogs,The Citadel,Citadel
Toledo Rockets,Toledo,TOL,Rockets,Toledo,Toledo
Towson Tigers,Towson,TOW,Tigers,Towson,Towson
Troy Trojans,Troy,TROY,Trojans,Troy,Troy
Tulane Green Wave,Tulane,TULN,Green Wave,Tulane,Tulane
Tulsa Golden Hurricane,Tulsa,TLSA,Golden Hurricane,Tulsa,Tulsa
UAB Blazers,UAB,UAB,Blazers,UAB,UAB
UAlbany Great Danes,UAlbany,ALB,Great Danes,UAlbany,Albany NY
UC Davis Aggies,UC Davis,UCD,Aggies,UC Davis,UC Davis
UC Irvine Anteaters,UC Irvine,UCI,Anteaters,UC Irvine,UC Irvine
UC Riverside Highlanders,UC Riverside,UCR,Highlanders,UC Riverside,UC Riverside
UC Santa Barbara Gauchos,Santa Barbara,UCSB,Gauchos,UC Santa Barbara,Santa Barbara
UCF Knights,UCF,UCF,Knights,UCF,UCF
UCLA Bruins,UCLA,UCLA,Bruins,UCLA,UCLA
UConn Huskies,UConn,CONN,Huskies,UConn,Connecticut
UL Monroe Warhawks,UL Monroe,ULM,Warhawks,UL Monroe,ULM
UMass Lowell River Hawks,UMass Lowell,UML,River Hawks,UMass Lowell,MA Lowell
UMBC Retrievers,UMBC,UMBC,Retrievers,UMBC,UMBC
UNC Asheville Bulldogs,UNC Asheville,UNCA,Bulldogs,UNC Asheville,UNC Asheville
UNC Greensboro Spartans,UNC Greensboro,UNCG,Spartans,UNC Greensboro,UNC Greensboro
UNC Wilmington Seahawks,UNC Wilmington,UNCW,Seahawks,UNC Wilmington,UNC Wilmington
UNLV Rebels,UNLV,UNLV,Rebels,UNLV,UNLV
