name|city|lat|long|avgPrice
Four Points by Sheraton San Jose Downtown|San Jose, CA|37.33212|-121.88811| 151.00000
The Westin San Jose|San Jose, CA|37.33102|-121.88736| 164.00000
The Westin San Jose|Santa Clara, CA|37.33102|-121.88736| 164.00000
Fontaine Inn Downtown - Fairgrounds|San Jose, CA|37.31796|-121.82935| 118.00000
Motel 6 Santa Clara, CA|San Jose, CA|37.31736|-121.82819|  83.35714
Motel 6 West Sacramento, CA|Sacramento, CA|38.57381|-121.55084|  83.69231
Echo Lodge|Sacramento, CA|38.58071|-121.53351|  73.92308
The Westin Sacramento|Sacramento, CA|38.53435|-121.51807| 198.76923
Wyndham Garden Sacramento Airport Natomas|Sacramento, CA|38.65199|-121.51054| 165.00000
Embassy Suites by Hilton Sacramento - Riverfront Promenade|Sacramento, CA|38.57957|-121.50686| 201.69231
Delta King Hotel|Sacramento, CA|38.58279|-121.50685| 209.22222
Governors Inn Hotel|Sacramento, CA|38.59655|-121.50157| 150.00000
Hyatt Centric Downtown Sacramento|Sacramento, CA|38.57948|-121.49851| 215.30769
Hyatt Regency Sacramento|Sacramento, CA|38.57770|-121.49104| 208.00000
Sheraton Grand Sacramento Hotel|Sacramento, CA|38.57901|-121.49019| 204.61538
Econo Lodge Sacramento Convention Center|Sacramento, CA|38.58112|-121.48360|  75.69231
Travelodge by Wyndham Sacramento Convention Center|Sacramento, CA|38.58150|-121.48309|  74.76923
Fairfield Inn by Marriott Sacramento Cal Expo|Sacramento, CA|38.59655|-121.44665| 111.00000
Courtyard by Marriott Sacramento Cal Expo|Sacramento, CA|38.59631|-121.44569| 121.00000
Super 8 by Wyndham Sacramento/Florin Rd|Sacramento, CA|38.49559|-121.44325|  90.00000
Hilton Sacramento Arden West|Sacramento, CA|38.60684|-121.43365| 153.00000
DoubleTree by Hilton Sacramento|Sacramento, CA|38.60088|-121.43293| 136.00000
Hampton Inn & Suites Sacramento at Csus|Sacramento, CA|38.55142|-121.42514| 151.53846
Best Western Capital City Inn|Sacramento, CA|38.47621|-121.42151| 126.00000
Rodeway Inn Sacramento - University Area|Sacramento, CA|38.55144|-121.41007|  86.08333
Comfort Inn & Suites Sacramento - University Area|Sacramento, CA|38.55056|-121.40988| 134.00000
Super 8 by Wyndham Sacramento North|Sacramento, CA|38.66208|-121.36269|  74.00000
Wyndham Sacramento|Sacramento, CA|38.66368|-121.35580| 126.00000
Fairfield Inn & Suites Rancho Cordova|Sacramento, CA|38.59041|-121.28633| 125.00000
Sacramento Marriott Rancho Cordova|Sacramento, CA|38.60709|-121.26923| 138.00000
Avila Lighthouse Suites|San Luis Obispo, CA|35.17979|-120.73564| 511.50000
Avila La Fonda Hotel|San Luis Obispo, CA|35.18009|-120.73346| 449.00000
Budget Inn|San Luis Obispo, CA|35.64269|-120.69378|  87.50000
Spyglass Inn|San Luis Obispo, CA|35.16382|-120.68876| 116.00000
Rose Garden Inn San Luis Obispo|San Luis Obispo, CA|35.24392|-120.68390| 102.50000
Best Western Plus Royal Oak Hotel|San Luis Obispo, CA|35.26355|-120.67785| 167.00000
Vagabond Inn San Luis Obispo|San Luis Obispo, CA|35.26408|-120.67686| 152.50000
Embassy Suites by Hilton San Luis Obispo|San Luis Obispo, CA|35.25916|-120.67469| 201.00000
Avenue Inn Downtown San Luis Obispo|San Luis Obispo, CA|35.27490|-120.66823| 157.50000
Homestead Motel|San Luis Obispo, CA|35.28592|-120.66588| 124.00000
Granada Hotel & Bistro|San Luis Obispo, CA|35.28023|-120.66121| 411.00000
Sunbeam Motel|San Luis Obispo, CA|35.28765|-120.65291|  84.00000
Villa Motel|San Luis Obispo, CA|35.28805|-120.65267| 263.50000
Sands Inn & Suites|San Luis Obispo, CA|35.28990|-120.65110| 123.00000
La Quinta Inn & Suites by Wyndham San Luis Obispo Downtown|San Luis Obispo, CA|35.28876|-120.65043| 209.50000
San Luis Creek Lodge|San Luis Obispo, CA|35.28934|-120.65027| 424.00000
La Cuesta Inn|San Luis Obispo, CA|35.29112|-120.64953| 252.00000
Apple Farm|San Luis Obispo, CA|35.29026|-120.64938| 214.50000
Motel 6 San Luis Obispo, CA - North|San Luis Obispo, CA|35.13439|-120.62157|  90.00000
The Ritz-Carlton Bacara, Santa Barbara|Santa Barbara, CA|34.43467|-119.92011| 940.00000
Hampton Inn & Suites Fresno|Fresno, CA|36.83371|-119.91750| 164.00000
Motel 6 Fresno, CA|Fresno, CA|36.80886|-119.88558|  84.50000
Ramada by Wyndham Fresno Northwest|Fresno, CA|36.80918|-119.88467|  86.00000
La Quinta Inn & Suites by Wyndham Fresno Northwest|Fresno, CA|36.80987|-119.88111| 135.00000
Courtyard Santa Barbara Goleta|Santa Barbara, CA|34.42485|-119.87086| 298.00000
Hilton Garden Inn Santa Barbara / Goleta|Santa Barbara, CA|34.43095|-119.86889| 273.00000
Residence Inn by Marriott Santa Barbara Goleta|Santa Barbara, CA|34.43316|-119.84392| 318.00000
Hotel Piccadilly|Fresno, CA|36.80773|-119.83314| 103.00000
Motel 6 Goleta, CA - Santa Barbara|Santa Barbara, CA|34.44118|-119.82802| 119.00000
Hampton Inn Santa Barbara/Goleta|Santa Barbara, CA|34.43515|-119.82229| 223.00000
Pacifica Suites|Santa Barbara, CA|34.43681|-119.81591| 193.00000
Whitney Peak Hotel|Reno, NV|39.52792|-119.81417| 190.20000
Renaissance Reno Downtown Hotel & Spa|Reno, NV|39.52518|-119.81060| 294.40000
Courtyard Reno Downtown/Riverfront|Reno, NV|39.52758|-119.80833| 155.00000
Clarion Pointe Fresno near Yosemite|Fresno, CA|36.79159|-119.79154|  87.00000
Motel 6 Fresno, CA - Blackstone North|Fresno, CA|36.79529|-119.79104|  88.00000
Homewood Suites Reno|Reno, NV|39.46584|-119.78993| 130.00000
Aiden by Best Western @ South Reno|Reno, NV|39.47278|-119.78843| 134.00000
Comfort Suites Fresno River Park|Fresno, CA|36.83806|-119.78787| 151.00000
Courtyard by Marriott Fresno|Fresno, CA|36.81134|-119.78680| 148.50000
Courtyard by Marriott Reno|Reno, NV|39.46437|-119.78487| 151.20000
DoubleTree by Hilton Fresno Convention Center|Fresno, CA|36.73282|-119.78432| 215.75000
Comfort Inn & Suites Airport|Reno, NV|39.50485|-119.78398| 125.00000
