league|id|time|date|city|title|full|venue|ven_id|score|lat|long|t1|t2|t3|t4|low|med|high|name|xname
mlb|5786442|12:45 pm|2023-08-03|San Francisco, CA|Diamondbacks at Giants|Arizona Diamondbacks at San Francisco Giants|Oracle Park|    22|0.811|37.7786|-122.3890|San Francisco Giants|Arizona Diamondbacks|NA|NA| 25|  72|   412|MLB|MLB Baseball
mlb|5785642|01:10 pm|2023-08-02|Houston, TX|Guardians at Astros|Cleveland Guardians at Houston Astros|Minute Maid Park|    20|0.811|29.7562| -95.3557|Houston Astros|Cleveland Guardians|NA|NA| 26|  78|   518|MLB|MLB Baseball
mlb|5786022|07:20 pm|2023-08-19|Atlanta, GA|Giants at Braves|San Francisco Giants at Atlanta Braves|Truist Park|418889|0.811|33.8897| -84.4654|Atlanta Braves|San Francisco Giants|NA|NA| 48| 103|  1040|MLB|MLB Baseball
mlb|5785492|07:05 pm|2023-07-31|Bronx, NY|Rays at Yankees|Tampa Bay Rays at New York Yankees|Yankee Stadium|     8|0.810|40.8296| -73.9262|New York Yankees|Tampa Bay Rays|NA|NA| 31|  82|  1079|MLB|MLB Baseball
mlb|5788854|04:10 pm|2023-08-05|Cincinnati, OH|Nationals at Reds|Washington Nationals at Cincinnati Reds|Great American Ball Park|    26|0.808|39.0974| -84.5071|Cincinnati Reds|Washington Nationals|NA|NA| 27|  71|   357|MLB|MLB Baseball
mlb|5786681|06:38 pm|2023-08-04|Anaheim, CA|Mariners at Angels|Seattle Mariners at Los Angeles Angels|Angel Stadium of Anaheim|    28|0.805|33.8003|-117.8830|Los Angeles Angels|Seattle Mariners|NA|NA| 20|  51|118792|MLB|MLB Baseball
mlb|5785980|07:05 pm|2023-08-04|Arlington, TX|Marlins at Rangers|Miami Marlins at Texas Rangers|Globe Life Field|487468|0.805|32.7472| -97.0838|Texas Rangers|Miami Marlins|NA|NA| 22|  66|119782|MLB|MLB Baseball
mlb|5788925|07:07 pm|2023-08-11|Toronto, Canada|Cubs at Blue Jays|Chicago Cubs at Toronto Blue Jays|Rogers Centre|    17|0.712|43.6422| -79.3909|Toronto Blue Jays|Chicago Cubs|NA|NA| 28|  71|  5044|MLB|MLB Baseball
mlb|5788297|07:05 pm|2023-08-07|Pittsburgh, PA|Braves at Pirates|Atlanta Braves at Pittsburgh Pirates|PNC Park|    10|0.711|40.4472| -80.0064|Pittsburgh Pirates|Atlanta Braves|NA|NA| 23|  66|   364|MLB|MLB Baseball
mlb|5787060|01:10 pm|2023-08-02|Seattle, WA|Red Sox at Mariners|Boston Red Sox at Seattle Mariners|T-Mobile Park|    13|0.803|47.5914|-122.3330|Seattle Mariners|Boston Red Sox|NA|NA| 27|  73|  1016|MLB|MLB Baseball
mlb|5787454|06:05 pm|2023-08-12|Philadelphia, PA|Twins at Phillies|Minnesota Twins at Philadelphia Phillies|Citizens Bank Park|    18|0.709|39.9055| -75.1666|Philadelphia Phillies|Minnesota Twins|NA|NA| 33|  86|   925|MLB|MLB Baseball
mlb|5785984|01:35 pm|2023-08-06|Arlington, TX|Marlins at Rangers|Miami Marlins at Texas Rangers|Globe Life Field|487468|0.801|32.7472| -97.0838|Texas Rangers|Miami Marlins|NA|NA| 20|  58|   585|MLB|MLB Baseball
mlb|5786683|06:07 pm|2023-08-05|Anaheim, CA|Mariners at Angels|Seattle Mariners at Los Angeles Angels|Angel Stadium of Anaheim|    28|0.801|33.8003|-117.8830|Los Angeles Angels|Seattle Mariners|NA|NA| 17|  51|   634|MLB|MLB Baseball
mlb|5785688|06:10 pm|2023-09-02|Houston, TX|Yankees at Astros|New York Yankees at Houston Astros|Minute Maid Park|    20|0.801|29.7562| -95.3557|Houston Astros|New York Yankees|NA|NA| 71| 207|  1336|MLB|MLB Baseball
