league|time|date|city|title|full|venue|ven_id|score|lat|long|t1|t2|t3|t4|low|med|high|name|xname|id
ncaa_football|03:30 am|2022-11-19|Allston, MA|Yale at Harvard|Yale Bulldogs at Harvard Crimson Football|Harvard Stadium|  5836|0.677|42.3655| -71.1268|Harvard Crimson Football|Yale Bulldogs Football|NA|NA|268| 329|   543|NCAA FB|College Football| 288
ncaa_football|03:30 am|2022-11-26|Pullman, WA|Washington at Washington State|Washington Huskies at Washington State Cougars Football|Gesa Field|  2795|0.713|46.7368|-117.1640|Washington State Cougars Football|Washington Huskies Football|NA|NA|113| 163|  1149|NCAA FB|College Football| 289
ncaa_football|06:00 pm|2022-12-02|Las Vegas, NV|Pac-12 Football Championship|Pac-12 Football Championship|Allegiant Stadium|514837|0.795|36.0909|-115.1830|Pac-12 Football Championship Game|NA|NA|NA| 73| 165|  5477|NCAA FB|College Football| 290
ncaa_football|04:30 pm|2022-12-17|Las Vegas, NV|Las Vegas Bowl|Las Vegas Bowl|Allegiant Stadium|514837|0.759|36.0909|-115.1830|Las Vegas Bowl|College Football Bowl Games|NA|NA| 97| 214|   919|NCAA FB|College Football| 291
ncaa_football|03:30 am|2022-11-25|Cincinnati, OH|Tulane at Cincinnati|Tulane Green Wave at Cincinnati Bearcats Football|Nippert Stadium|  2815|0.637|39.1316| -84.5169|Cincinnati Bearcats Football|Tulane Green Wave Football|NA|NA| 85| 126|   373|NCAA FB|College Football| 292
ncaa_football|12:00 pm|2022-11-12|Bethlehem, PA|Colgate at Lehigh|Colgate Raiders at Lehigh Mountain Hawks Football|Goodman Stadium|  5943|0.447|40.5861| -75.3505|Lehigh Mountain Hawks Football|Colgate Raiders Football|NA|NA| 24|  30|    62|NCAA FB|College Football| 293
ncaa_football|01:00 pm|2022-11-12|Bronx, NY|Lafayette at Fordham|Lafayette Leopards at Fordham Rams Football|Coffey Field|  5954|0.523|40.8607| -73.8894|Fordham Rams Football|Lafayette Leopards Football|NA|NA| 29|  41|    74|NCAA FB|College Football| 294
ncaa_football|01:00 pm|2022-11-12|Johnson City, TN|Catamounts Football at ETSU|Western Carolina Catamounts at East Tennessee State Buccaneers Football|William B. Greene Jr. Stadium|456477|0.546|36.3042| -82.3668|East Tennessee State Buccaneers Football|Western Carolina Catamounts Football|NA|NA| 47|  65|    88|NCAA FB|College Football| 295
ncaa_football|12:00 pm|2022-12-17|Atlanta, GA|Celebration Bowl|Celebration Bowl|Mercedes-Benz Stadium|419590|0.545|33.7556| -84.4024|Celebration Bowl|College Football Bowl Games|NA|NA| 52| 106| 12305|NCAA FB|College Football| 296
ncaa_football|06:00 pm|2022-11-12|Corvallis, OR|California at Oregon State|California Golden Bears at Oregon State Beavers Football|Reser Stadium|  2832|0.777|44.5581|-123.2790|Oregon State Beavers Football|California Golden Bears Football|NA|NA|118| 145|   266|NCAA FB|College Football| 297
